,Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD)
542,GeForce GTX 670M,1723,990,,
543,GeForce GTX 670MX,1973,905,,
544,GeForce GTX 675M,1863,948,,
545,GeForce GTX 675MX,2969,681,,
546,GeForce GTX 680,5601,423,14.04,$399.00*
547,GeForce GTX 680M,3276,639,24.09,$135.99*
548,GeForce GTX 680M KY_Bullet Edition,3568,608,,
549,GeForce GTX 680MX,3686,594,,
550,GeForce GTX 690,5474,439,19.48,$280.99*
551,GeForce GTX 745,2126,856,7.46,$284.95*
552,GeForce GTX 750,3324,633,24.58,$135.29*
553,GeForce GTX 750 Ti,3903,569,44.3,$88.11*
554,GeForce GTX 760,4806,501,32.26,$149.00*
555,GeForce GTX 760 Ti,5306,451,17.84,$297.50*
556,GeForce GTX 760 Ti OEM,5427,442,,
557,GeForce GTX 760A,1226,1171,,
558,GeForce GTX 760M,1703,998,,
559,GeForce GTX 765M,2015,886,10.82,$186.30*
560,GeForce GTX 770,5943,402,23.87,$249.00*
561,GeForce GTX 770M,2762,711,20.02,$138.00*
562,GeForce GTX 775M,3688,592,,
563,GeForce GTX 780,7970,321,28.47,$279.99*
564,GeForce GTX 780 Ti,9462,277,27.83,$339.99*
565,GeForce GTX 780M,3822,579,7.66,$499.00*
566,GeForce GTX 850A,1049,1251,,
567,GeForce GTX 850M,2525,755,,
568,GeForce GTX 850M - MODDED,1091,1228,,
569,GeForce GTX 860M,3081,669,27.03,$114.00*
570,GeForce GTX 870M,3518,615,,
571,GeForce GTX 880M,3817,580,,
572,GeForce GTX 950,5350,449,37.68,$141.99*
573,GeForce GTX 950A,2593,740,,
574,GeForce GTX 950M,2576,744,4.54,$567.00*
575,GeForce GTX 960,6118,396,35.57,$172.00*
576,GeForce GTX 960A,3464,621,,
577,GeForce GTX 960M,3371,628,2.88,"$1,169.00*"
578,GeForce GTX 965M,3846,577,,
579,GeForce GTX 970,9640,268,40.51,$237.99*
580,GeForce GTX 970M,5698,418,27.14,$209.99*
581,GeForce GTX 970XM FORCE,6706,369,,
582,GeForce GTX 980,11101,240,44.88,$247.35*
583,GeForce GTX 980 Ti,13722,169,21.29,$644.61*
584,GeForce GTX 980M,7338,350,25.31,$289.99*
585,GeForce GTX Titan,8197,312,11.0,$745.00*
586,GeForce GTX TITAN Black,9184,285,7.13,"$1,288.95"
587,GeForce GTX TITAN X,12782,197,11.65,"$1,096.99*"
588,GeForce GTX TITAN Z,8810,297,5.82,"$1,515.00*"
589,GeForce MX110,1417,1111,,
590,GeForce MX130,1814,965,,
591,GeForce MX150,2255,822,38.04,$59.29*
592,GeForce MX230,1827,961,,
593,GeForce MX250,2388,781,,
