,name,score
2282,radeon ryzen 5 7600x 6 core,1672
2283,radeon ryzen 5 7600x3d 6 core,1869
2284,radeon ryzen 5 microsoft surface edition,2057
2285,radeon ryzen 5 pro 4400g,2276
2286,radeon ryzen 5 pro 4655g,2215
2287,radeon ryzen 5 pro 4655ge,2274
2288,radeon ryzen 5 pro 5650g,2292
2289,radeon ryzen 5 pro 5650ge,2281
2290,radeon ryzen 5 pro 5655g,2503
2291,radeon ryzen 5 pro 5655ge,1801
2292,radeon ryzen 5 pro 5675u,1915
2293,radeon ryzen 5 pro 6650h,2678
2294,radeon ryzen 5 pro 6650u,3664
2295,radeon ryzen 5 pro 7535u,2953
2296,radeon ryzen 5 pro 7645 6 core,1581
2297,radeon ryzen 7 3700u,1301
2298,radeon ryzen 7 4700g,2583
2299,radeon ryzen 7 4700ge,2595
2300,radeon ryzen 7 4700u,2032
2301,radeon ryzen 7 4800h,3341
2302,radeon ryzen 7 4800hs,3102
2303,radeon ryzen 7 4800u,2317
2304,radeon ryzen 7 5700u,2250
2305,radeon ryzen 7 5800h,2823
2306,radeon ryzen 7 5800hs,2529
2307,radeon ryzen 7 5800u,2402
2308,radeon ryzen 7 5825u,2389
2309,radeon ryzen 7 6800h,4979
2310,radeon ryzen 7 6800hs,6025
2311,radeon ryzen 7 6800hs creator edition,5362
2312,radeon ryzen 7 6800u,4385
2313,radeon ryzen 7 6810u,5937
2314,radeon ryzen 7 7700 8 core,1726
2315,radeon ryzen 7 7700x 8 core,1910
2316,radeon ryzen 7 7730u,2397
2317,radeon ryzen 7 7735h,5334
2318,radeon ryzen 7 7735hs,5034
2319,radeon ryzen 7 7735u,4704
2320,radeon ryzen 7 7736u,5818
2321,radeon ryzen 7 7800x3d 8 core,1711
2322,radeon ryzen 7 microsoft surface edition,2275
2323,radeon ryzen 7 pro 4700g,2147
2324,radeon ryzen 7 pro 4750g,2490
2325,radeon ryzen 7 pro 4750ge,2379
2326,radeon ryzen 7 pro 4750u,2007
2327,radeon ryzen 7 pro 5755ge,2117
2328,radeon ryzen 7 pro 5875u,2183
2329,radeon ryzen 7 pro 6850h,5407
2330,radeon ryzen 7 pro 6850hs,5057
2331,radeon ryzen 7 pro 6850u,5112
2332,radeon ryzen 7 pro 6860z,4558
2333,radeon ryzen 7 pro 7730u,2294
2334,radeon ryzen 7 pro 7735u,3872
2335,radeon ryzen 7 pro 7745 8 core,1595
2336,radeon ryzen 9 4900h,2583
2337,radeon ryzen 9 4950u mobile,2594
2338,radeon ryzen 9 5900h,2134
2339,radeon ryzen 9 6900hs,6855
2340,radeon ryzen 9 6900hs creator edition,5155
2341,radeon ryzen 9 7900 12 core,1953
2342,radeon ryzen 9 7900x 12 core,2222
2343,radeon ryzen 9 7900x3d 12 core,1773
2344,radeon ryzen 9 7950x 16 core,3261
2345,radeon ryzen 9 7950x3d 16 core,1658
2346,radeon ryzen 9 pro 6950h,5781
2347,radeon ryzen 9 pro 6950hs,4427
2348,radeon ryzen 9 pro 7945 12 core,1612
2349,radeon ryzen embedded r2312,837
2350,radeon ryzen embedded r2314,997
2351,radeon ryzen embedded r2514,1511
2352,radeon ryzen embedded r2544,1864
2353,radeon ryzen embedded v2516,1723
2354,radeon ryzen embedded v2546,1435
2355,radeon ryzen embedded v2718,1998
2356,radeon ryzen embedded v2748,2216
2357,radeon ryzen z2 go,5004
2358,radeon sky 500,4709
2359,radeon tm,5565
2360,radeon tm r9 a360,2060
2361,radeon ve,2
2362,radeon vega 10,1536
2363,radeon vega 10 mobile,1525
2364,radeon vega 10 ryzen 7 pro 3700u w,1562
2365,radeon vega 11,1861
2366,radeon vega 11 ryzen 5 pro 3350g,2185
2367,radeon vega 11 ryzen 5 pro 3350ge,2217
2368,radeon vega 11 ryzen 5 pro 3400g,2040
2369,radeon vega 11 ryzen 5 pro 3400ge w,1314
2370,radeon vega 2,506
2371,radeon vega 2 athlon silver 3050u,521
2372,radeon vega 3,890
2373,radeon vega 3 3020e,547
2374,radeon vega 3 athlon 3000g,953
2375,radeon vega 3 athlon 300ge,1044
2376,radeon vega 3 athlon 300u,832
2377,radeon vega 3 athlon 320ge,677
2378,radeon vega 3 athlon gold 3150g,1088
2379,radeon vega 3 athlon gold 3150u,665
2380,radeon vega 3 athlon gold pro 3150g,671
2381,radeon vega 3 athlon pro 300ge w,1090
2382,radeon vega 3 athlon silver 3050e,485
